company,website,intent_score,open_tech_roles,funding_stage,ats_detected,outreach_subject,outreach_body,source_url
EliseAI,https://eliseai.com,4,13,Series C,FALSE,thirteen engineering roles open at EliseAI,"Thirteen engineering roles are live right now across Full Stack, Data, DevOps, Security and founding Healthcare positions in NYC and SF. Companies scaling this fast usually find that screening becomes the bottleneck before headcount does â€?Basanite removes it. Worth a 15-min call?",https://wellfound.com/jobs?role=software-engineer&jobType=full-time
Grow Therapy,https://growtherapy.com,3,19,Series C,TRUE,nineteen technical roles at Grow Therapy,"Nineteen engineering and data roles are posted across NYC, SF and Seattle, spanning backend, platform, iOS and ML enablement. Remote pipelines make consistency even harder â€?Basanite applies identical depth and standards to every candidate regardless of sequence. Happy to share what this looks like for engineering hiring specifically.",https://wellfound.com/jobs?role=software-engineer&jobType=full-time
GlossGenius,https://www.glossgenius.com,3,12,Series C,TRUE,twelve technical roles at GlossGenius,"Twelve engineering and data roles are open across NYC, SF, Toronto and hybrid SF Bay Area, including Staff Frontend and Data Platform positions. Companies scaling this fast usually find that screening becomes the bottleneck before headcount does â€?Basanite removes it. Worth a 15-min call?",https://wellfound.com/jobs?role=software-engineer&jobType=full-time
Pave,https://www.pave.com,2,8,Series C,TRUE,eight engineering roles open at Pave,"Eight technical roles span Core Platform, Data Platform, AI Engineering and Customer Success Engineering across SF, NYC, SLC and Krakow. Remote pipelines make consistency even harder â€?Basanite applies identical depth and standards to every candidate regardless of sequence. Happy to share what this looks like for platform engineering hiring specifically.",https://wellfound.com/jobs?role=software-engineer&jobType=full-time
Afresh,https://www.afresh.com,2,11,Series B,TRUE,eleven remote engineering roles at Afresh,"Eleven technical roles are posted remote across US and Ontario, heavy on ML Platform and Infrastructure positions. Remote pipelines make consistency even harder â€?Basanite applies identical depth and standards to every candidate regardless of sequence. Happy to share what this looks like for ML Platform hiring specifically.",https://wellfound.com/jobs?role=software-engineer&jobType=full-time
Applied Intuition,https://www.appliedintuition.com,3,130,Series F,TRUE,130 plus technical roles at Applied Intuition,"Over 130 technical roles are live, concentrated in Sunnyvale research engineering around robotics, self-driving and reinforcement learning. Teams at that hiring volume typically replace one to two full-time screener roles with Basanite inside the first quarter. Worth a 15-min call?",https://wellfound.com/jobs?role=software-engineer&jobType=full-time
Ramp,https://ramp.com,4,28,Series E,FALSE,twenty eight engineering roles at Ramp,"Twenty-eight engineering roles are live across NYC, SF, Miami and remote, spanning Infrastructure, Agent Developer Platform, Stablecoins and Forward Deployed. Teams at that hiring volume typically replace one to two full-time screener roles with Basanite inside the first quarter. Worth a 15-min call?",https://ramp.com/careers
Vercel,https://vercel.com,4,15,Series E,FALSE,fifteen engineering roles open at Vercel,"Fifteen engineering roles span AI Gateway, CDN, Forward Deployed and Trust and Safety across Austin, NYC, SF, Berlin and London. Companies scaling this fast usually find that screening becomes the bottleneck before headcount does â€?Basanite removes it. Worth a 15-min call?",https://vercel.com/careers
Perplexity,https://www.perplexity.ai,4,40,Series B,FALSE,forty Member of Technical Staff roles at Perplexity,"Forty Member of Technical Staff roles are live across Agents, AI Inference, Backend, Mobile and Research, spread over SF, NYC, London, Berlin and Belgrade. Remote pipelines make consistency even harder â€?Basanite applies identical depth and standards to every candidate regardless of sequence. Happy to share what this looks like for Member of Technical Staff hiring specifically.",https://www.perplexity.ai/careers
Harvey,https://www.harvey.ai,4,5,Series D,FALSE,five senior engineering roles at Harvey,"Five senior engineering roles are posted in San Francisco and New York across Full Stack, Core Infrastructure, Frontend, Legal Engineer and Staff Infrastructure. Companies scaling this fast usually find that screening becomes the bottleneck before headcount does â€?Basanite removes it. Worth a 15-min call?",https://www.harvey.ai/careers
